firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
67,1,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,4,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,5,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,6,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,7,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,8,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,9,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,10,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,11,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,12,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,13,09-12-16-Monday,1,09-12-16-Monday,1,1.0
67,1,09-13-16-Tuesday,2,09-13-16-Tuesday,2,1.0
67,1,09-13-16-Tuesday,2,09-14-16-Wednesday,3,1.0
67,1,09-13-16-Tuesday,2,09-15-16-Thursday,4,1.0
67,1,09-13-16-Tuesday,2,09-16-16-Friday,5,1.0
67,1,09-13-16-Tuesday,2,09-17-16-Saturday,6,1.0
67,1,09-13-16-Tuesday,2,09-18-16-Sunday,7,1.0
67,1,09-13-16-Tuesday,2,09-19-16-Monday,8,1.0
67,1,09-13-16-Tuesday,2,09-20-16-Tuesday,9,1.0
67,1,09-13-16-Tuesday,2,09-21-16-Wednesday,10,1.0
67,1,09-13-16-Tuesday,2,09-22-16-Thursday,11,1.0
67,1,09-13-16-Tuesday,2,09-24-16-Saturday,13,1.0
67,1,09-14-16-Wednesday,3,09-13-16-Tuesday,2,1.0
67,1,09-14-16-Wednesday,3,09-14-16-Wednesday,3,1.0
67,1,09-14-16-Wednesday,3,09-15-16-Thursday,4,1.0
67,1,09-14-16-Wednesday,3,09-16-16-Friday,5,1.0
67,1,09-14-16-Wednesday,3,09-17-16-Saturday,6,1.0
67,1,09-14-16-Wednesday,3,09-18-16-Sunday,7,1.0
67,1,09-14-16-Wednesday,3,09-19-16-Monday,8,1.0
67,1,09-14-16-Wednesday,3,09-20-16-Tuesday,9,1.0
67,1,09-14-16-Wednesday,3,09-21-16-Wednesday,10,1.0
67,1,09-14-16-Wednesday,3,09-22-16-Thursday,11,1.0
67,1,09-14-16-Wednesday,3,09-24-16-Saturday,13,1.0
67,1,09-15-16-Thursday,4,09-13-16-Tuesday,2,1.0
67,1,09-15-16-Thursday,4,09-14-16-Wednesday,3,1.0
67,1,09-15-16-Thursday,4,09-15-16-Thursday,4,1.0
67,1,09-15-16-Thursday,4,09-16-16-Friday,5,1.0
67,1,09-15-16-Thursday,4,09-17-16-Saturday,6,1.0
67,1,09-15-16-Thursday,4,09-18-16-Sunday,7,1.0
67,1,09-15-16-Thursday,4,09-19-16-Monday,8,1.0
67,1,09-15-16-Thursday,4,09-20-16-Tuesday,9,1.0
67,1,09-15-16-Thursday,4,09-21-16-Wednesday,10,1.0
67,1,09-15-16-Thursday,4,09-22-16-Thursday,11,1.0
67,1,09-15-16-Thursday,4,09-24-16-Saturday,13,1.0
67,1,09-16-16-Friday,5,09-13-16-Tuesday,2,1.0
67,1,09-16-16-Friday,5,09-14-16-Wednesday,3,1.0
67,1,09-16-16-Friday,5,09-15-16-Thursday,4,1.0
67,1,09-16-16-Friday,5,09-16-16-Friday,5,1.0
67,1,09-16-16-Friday,5,09-17-16-Saturday,6,1.0
67,1,09-16-16-Friday,5,09-18-16-Sunday,7,1.0
67,1,09-16-16-Friday,5,09-19-16-Monday,8,1.0
67,1,09-16-16-Friday,5,09-20-16-Tuesday,9,1.0
67,1,09-16-16-Friday,5,09-21-16-Wednesday,10,1.0
67,1,09-16-16-Friday,5,09-22-16-Thursday,11,1.0
67,1,09-16-16-Friday,5,09-24-16-Saturday,13,1.0
67,1,09-17-16-Saturday,6,09-13-16-Tuesday,2,1.0
67,1,09-17-16-Saturday,6,09-14-16-Wednesday,3,1.0
67,1,09-17-16-Saturday,6,09-15-16-Thursday,4,1.0
67,1,09-17-16-Saturday,6,09-16-16-Friday,5,1.0
67,1,09-17-16-Saturday,6,09-17-16-Saturday,6,1.0
67,1,09-17-16-Saturday,6,09-18-16-Sunday,7,1.0
67,1,09-17-16-Saturday,6,09-19-16-Monday,8,1.0
67,1,09-17-16-Saturday,6,09-20-16-Tuesday,9,1.0
67,1,09-17-16-Saturday,6,09-21-16-Wednesday,10,1.0
67,1,09-17-16-Saturday,6,09-22-16-Thursday,11,1.0
67,1,09-17-16-Saturday,6,09-24-16-Saturday,13,1.0
67,1,09-18-16-Sunday,7,09-13-16-Tuesday,2,1.0
67,1,09-18-16-Sunday,7,09-14-16-Wednesday,3,1.0
67,1,09-18-16-Sunday,7,09-15-16-Thursday,4,1.0
67,1,09-18-16-Sunday,7,09-16-16-Friday,5,1.0
67,1,09-18-16-Sunday,7,09-17-16-Saturday,6,1.0
67,1,09-18-16-Sunday,7,09-18-16-Sunday,7,1.0
67,1,09-18-16-Sunday,7,09-19-16-Monday,8,1.0
67,1,09-18-16-Sunday,7,09-20-16-Tuesday,9,1.0
67,1,09-18-16-Sunday,7,09-21-16-Wednesday,10,1.0
67,1,09-18-16-Sunday,7,09-22-16-Thursday,11,1.0
67,1,09-18-16-Sunday,7,09-24-16-Saturday,13,1.0
67,1,09-19-16-Monday,8,09-13-16-Tuesday,2,1.0
67,1,09-19-16-Monday,8,09-14-16-Wednesday,3,1.0
67,1,09-19-16-Monday,8,09-15-16-Thursday,4,1.0
67,1,09-19-16-Monday,8,09-16-16-Friday,5,1.0
67,1,09-19-16-Monday,8,09-17-16-Saturday,6,1.0
67,1,09-19-16-Monday,8,09-18-16-Sunday,7,1.0
67,1,09-19-16-Monday,8,09-19-16-Monday,8,1.0
67,1,09-19-16-Monday,8,09-20-16-Tuesday,9,1.0
67,1,09-19-16-Monday,8,09-21-16-Wednesday,10,1.0
67,1,09-19-16-Monday,8,09-22-16-Thursday,11,1.0
67,1,09-19-16-Monday,8,09-24-16-Saturday,13,1.0
67,1,09-20-16-Tuesday,9,09-13-16-Tuesday,2,1.0
67,1,09-20-16-Tuesday,9,09-14-16-Wednesday,3,1.0
67,1,09-20-16-Tuesday,9,09-15-16-Thursday,4,1.0
67,1,09-20-16-Tuesday,9,09-16-16-Friday,5,1.0
67,1,09-20-16-Tuesday,9,09-17-16-Saturday,6,1.0
67,1,09-20-16-Tuesday,9,09-18-16-Sunday,7,1.0
67,1,09-20-16-Tuesday,9,09-19-16-Monday,8,1.0
67,1,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
67,1,09-20-16-Tuesday,9,09-21-16-Wednesday,10,1.0
67,1,09-20-16-Tuesday,9,09-22-16-Thursday,11,1.0
67,1,09-20-16-Tuesday,9,09-24-16-Saturday,13,1.0
67,1,09-21-16-Wednesday,10,09-13-16-Tuesday,2,1.0
67,1,09-21-16-Wednesday,10,09-14-16-Wednesday,3,1.0
67,1,09-21-16-Wednesday,10,09-15-16-Thursday,4,1.0
67,1,09-21-16-Wednesday,10,09-16-16-Friday,5,1.0
67,1,09-21-16-Wednesday,10,09-17-16-Saturday,6,1.0
67,1,09-21-16-Wednesday,10,09-18-16-Sunday,7,1.0
67,1,09-21-16-Wednesday,10,09-19-16-Monday,8,1.0
67,1,09-21-16-Wednesday,10,09-20-16-Tuesday,9,1.0
67,1,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
67,1,09-21-16-Wednesday,10,09-22-16-Thursday,11,1.0
67,1,09-21-16-Wednesday,10,09-24-16-Saturday,13,1.0
67,1,09-22-16-Thursday,11,09-13-16-Tuesday,2,1.0
67,1,09-22-16-Thursday,11,09-14-16-Wednesday,3,1.0
67,1,09-22-16-Thursday,11,09-15-16-Thursday,4,1.0
67,1,09-22-16-Thursday,11,09-16-16-Friday,5,1.0
67,1,09-22-16-Thursday,11,09-17-16-Saturday,6,1.0
67,1,09-22-16-Thursday,11,09-18-16-Sunday,7,1.0
67,1,09-22-16-Thursday,11,09-19-16-Monday,8,1.0
67,1,09-22-16-Thursday,11,09-20-16-Tuesday,9,1.0
67,1,09-22-16-Thursday,11,09-21-16-Wednesday,10,1.0
67,1,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
67,1,09-22-16-Thursday,11,09-24-16-Saturday,13,1.0
67,1,09-23-16-Friday,12,09-13-16-Tuesday,2,1.0
67,1,09-23-16-Friday,12,09-14-16-Wednesday,3,1.0
67,1,09-23-16-Friday,12,09-15-16-Thursday,4,1.0
67,1,09-23-16-Friday,12,09-16-16-Friday,5,1.0
67,1,09-23-16-Friday,12,09-17-16-Saturday,6,1.0
67,1,09-23-16-Friday,12,09-18-16-Sunday,7,1.0
67,1,09-23-16-Friday,12,09-19-16-Monday,8,1.0
67,1,09-23-16-Friday,12,09-20-16-Tuesday,9,1.0
67,1,09-23-16-Friday,12,09-21-16-Wednesday,10,1.0
67,1,09-23-16-Friday,12,09-22-16-Thursday,11,1.0
67,1,09-23-16-Friday,12,09-24-16-Saturday,13,1.0
67,1,09-24-16-Saturday,13,09-13-16-Tuesday,2,1.0
67,1,09-24-16-Saturday,13,09-14-16-Wednesday,3,1.0
67,1,09-24-16-Saturday,13,09-15-16-Thursday,4,1.0
67,1,09-24-16-Saturday,13,09-16-16-Friday,5,1.0
67,1,09-24-16-Saturday,13,09-17-16-Saturday,6,1.0
67,1,09-24-16-Saturday,13,09-18-16-Sunday,7,1.0
67,1,09-24-16-Saturday,13,09-19-16-Monday,8,1.0
67,1,09-24-16-Saturday,13,09-20-16-Tuesday,9,1.0
67,1,09-24-16-Saturday,13,09-21-16-Wednesday,10,1.0
67,1,09-24-16-Saturday,13,09-22-16-Thursday,11,1.0
67,1,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
67,1,09-25-16-Sunday,14,09-13-16-Tuesday,2,1.0
67,1,09-25-16-Sunday,14,09-14-16-Wednesday,3,1.0
67,1,09-25-16-Sunday,14,09-15-16-Thursday,4,1.0
67,1,09-25-16-Sunday,14,09-16-16-Friday,5,1.0
67,1,09-25-16-Sunday,14,09-17-16-Saturday,6,1.0
67,1,09-25-16-Sunday,14,09-18-16-Sunday,7,1.0
67,1,09-25-16-Sunday,14,09-19-16-Monday,8,1.0
67,1,09-25-16-Sunday,14,09-20-16-Tuesday,9,1.0
67,1,09-25-16-Sunday,14,09-21-16-Wednesday,10,1.0
67,1,09-25-16-Sunday,14,09-22-16-Thursday,11,1.0
67,1,09-25-16-Sunday,14,09-24-16-Saturday,13,1.0
67,1,09-26-16-Monday,15,09-13-16-Tuesday,2,1.0
67,1,09-26-16-Monday,15,09-14-16-Wednesday,3,1.0
67,1,09-26-16-Monday,15,09-15-16-Thursday,4,1.0
67,1,09-26-16-Monday,15,09-16-16-Friday,5,1.0
67,1,09-26-16-Monday,15,09-17-16-Saturday,6,1.0
67,1,09-26-16-Monday,15,09-18-16-Sunday,7,1.0
67,1,09-26-16-Monday,15,09-19-16-Monday,8,1.0
67,1,09-26-16-Monday,15,09-20-16-Tuesday,9,1.0
67,1,09-26-16-Monday,15,09-21-16-Wednesday,10,1.0
67,1,09-26-16-Monday,15,09-22-16-Thursday,11,1.0
67,1,09-26-16-Monday,15,09-24-16-Saturday,13,1.0
67,1,09-27-16-Tuesday,16,09-13-16-Tuesday,2,1.0
67,1,09-27-16-Tuesday,16,09-14-16-Wednesday,3,1.0
67,1,09-27-16-Tuesday,16,09-15-16-Thursday,4,1.0
67,1,09-27-16-Tuesday,16,09-16-16-Friday,5,1.0
67,1,09-27-16-Tuesday,16,09-17-16-Saturday,6,1.0
67,1,09-27-16-Tuesday,16,09-18-16-Sunday,7,1.0
67,1,09-27-16-Tuesday,16,09-19-16-Monday,8,1.0
67,1,09-27-16-Tuesday,16,09-20-16-Tuesday,9,1.0
67,1,09-27-16-Tuesday,16,09-21-16-Wednesday,10,1.0
67,1,09-27-16-Tuesday,16,09-22-16-Thursday,11,1.0
67,1,09-27-16-Tuesday,16,09-24-16-Saturday,13,1.0
67,1,09-28-16-Wednesday,17,09-13-16-Tuesday,2,1.0
67,1,09-28-16-Wednesday,17,09-14-16-Wednesday,3,1.0
67,1,09-28-16-Wednesday,17,09-15-16-Thursday,4,1.0
67,1,09-28-16-Wednesday,17,09-16-16-Friday,5,1.0
67,1,09-28-16-Wednesday,17,09-17-16-Saturday,6,1.0
67,1,09-28-16-Wednesday,17,09-18-16-Sunday,7,1.0
67,1,09-28-16-Wednesday,17,09-19-16-Monday,8,1.0
67,1,09-28-16-Wednesday,17,09-20-16-Tuesday,9,1.0
67,1,09-28-16-Wednesday,17,09-21-16-Wednesday,10,1.0
67,1,09-28-16-Wednesday,17,09-22-16-Thursday,11,1.0
67,1,09-28-16-Wednesday,17,09-24-16-Saturday,13,1.0
67,1,09-29-16-Thursday,18,09-13-16-Tuesday,2,1.0
67,1,09-29-16-Thursday,18,09-14-16-Wednesday,3,1.0
67,1,09-29-16-Thursday,18,09-15-16-Thursday,4,1.0
67,1,09-29-16-Thursday,18,09-16-16-Friday,5,1.0
67,1,09-29-16-Thursday,18,09-17-16-Saturday,6,1.0
67,1,09-29-16-Thursday,18,09-18-16-Sunday,7,1.0
67,1,09-29-16-Thursday,18,09-19-16-Monday,8,1.0
