device,timestamp,motion
4,1473732300000,-1.0
4,1473732900000,-1.0
4,1473733500000,-1.0
4,1473734100000,-1.0
4,1473734700000,-1.0
4,1473735300000,-1.0
4,1473735900000,-1.0
4,1473736500000,-1.0
4,1473737100000,-1.0
4,1473737700000,-1.0
4,1473738300000,-1.0
4,1473738900000,-1.0
4,1473739500000,-1.0
4,1473740100000,-1.0
4,1473740700000,-1.0
4,1473741300000,-1.0
4,1473741900000,-1.0
4,1473742500000,-1.0
4,1473743100000,-1.0
4,1473743700000,-1.0
4,1473744300000,-1.0
4,1473744900000,-1.0
4,1473745500000,-1.0
4,1473746100000,-1.0
4,1473746700000,-1.0
4,1473747300000,-1.0
4,1473747900000,-1.0
4,1473748500000,-1.0
4,1473749100000,-1.0
4,1473749700000,-1.0
4,1473750300000,-1.0
4,1473750900000,-1.0
4,1473751500000,-1.0
4,1473752100000,-1.0
4,1473752700000,-1.0
4,1473753300000,-1.0
4,1473753900000,-1.0
4,1473754500000,-1.0
4,1473755100000,-1.0
4,1473755700000,-1.0
4,1473756300000,-1.0
4,1473756900000,-1.0
4,1473757500000,-1.0
4,1473758100000,-1.0
4,1473758700000,-1.0
4,1473759300000,-1.0
4,1473759900000,-1.0
4,1473760500000,-1.0
4,1473761100000,-1.0
4,1473761700000,-1.0
4,1473762300000,-1.0
4,1473762900000,-1.0
4,1473763500000,-1.0
4,1473764100000,-1.0
4,1473764700000,-1.0
4,1473765300000,-1.0
4,1473765900000,-1.0
4,1473766500000,-1.0
4,1473767100000,-1.0
4,1473767700000,-1.0
4,1473768300000,-1.0
4,1473768900000,-1.0
4,1473769500000,-1.0
4,1473770100000,-1.0
4,1473770700000,-1.0
4,1473771300000,-1.0
4,1473771900000,-1.0
4,1473772500000,-1.0
4,1473773100000,-1.0
4,1473773700000,-1.0
4,1473774300000,-1.0
4,1473774900000,-1.0
4,1473775500000,-1.0
4,1473776100000,-1.0
4,1473776700000,-1.0
4,1473777300000,-1.0
4,1473777900000,-1.0
4,1473778500000,-1.0
4,1473779100000,-1.0
4,1473779700000,-1.0
4,1473780300000,-1.0
4,1473780900000,-1.0
4,1473781500000,-1.0
4,1473782100000,-1.0
4,1473782700000,-1.0
4,1473783300000,-1.0
4,1473783900000,-1.0
4,1473784500000,-1.0
4,1473785100000,-1.0
4,1473785700000,-1.0
4,1473786300000,-1.0
4,1473786900000,-1.0
4,1473787500000,-1.0
4,1473788100000,-1.0
4,1473788700000,-1.0
4,1473789300000,-1.0
4,1473789900000,-1.0
4,1473790500000,-1.0
4,1473791100000,-1.0
4,1473791700000,-1.0
4,1473792300000,-1.0
4,1473792900000,-1.0
4,1473793500000,-1.0
4,1473794100000,-1.0
4,1473794700000,-1.0
4,1473795300000,-1.0
4,1473795900000,-1.0
4,1473796500000,-1.0
4,1473797100000,-1.0
4,1473797700000,-1.0
4,1473798300000,-1.0
4,1473798900000,-1.0
4,1473799500000,-1.0
4,1473800100000,-1.0
4,1473800700000,-1.0
4,1473801300000,-1.0
4,1473801900000,-1.0
4,1473802500000,-1.0
4,1473803100000,-1.0
4,1473803700000,-1.0
4,1473804300000,-1.0
4,1473804900000,-1.0
4,1473805500000,-1.0
4,1473806100000,-1.0
4,1473806700000,-1.0
4,1473807300000,-1.0
4,1473807900000,-1.0
4,1473808500000,-1.0
4,1473809100000,-1.0
4,1473809700000,-1.0
4,1473810300000,-1.0
4,1473810900000,-1.0
4,1473811500000,-1.0
4,1473812100000,-1.0
4,1473812700000,-1.0
4,1473813300000,-1.0
4,1473813900000,-1.0
4,1473814500000,-1.0
4,1473815100000,-1.0
4,1473815700000,-1.0
4,1473816300000,-1.0
4,1473816900000,-1.0
4,1473817500000,-1.0
4,1473818100000,-1.0
4,1473818700000,-1.0
4,1473819300000,-1.0
4,1473819900000,-1.0
4,1473820500000,-1.0
4,1473821100000,-1.0
4,1473821700000,-1.0
4,1473822300000,-1.0
4,1473822900000,-1.0
4,1473823500000,-1.0
4,1473824100000,-1.0
4,1473824700000,-1.0
4,1473825300000,-1.0
4,1473825900000,-1.0
4,1473826500000,-1.0
4,1473827100000,-1.0
4,1473827700000,-1.0
4,1473828300000,-1.0
4,1473828900000,-1.0
4,1473829500000,-1.0
4,1473830100000,-1.0
4,1473830700000,-1.0
4,1473831300000,-1.0
4,1473831900000,-1.0
4,1473832500000,-1.0
4,1473833100000,-1.0
4,1473833700000,-1.0
4,1473834300000,-1.0
4,1473834900000,-1.0
4,1473835500000,-1.0
4,1473836100000,-1.0
4,1473836700000,-1.0
4,1473837300000,-1.0
4,1473837900000,-1.0
4,1473838500000,-1.0
4,1473839100000,-1.0
4,1473839700000,-1.0
4,1473840300000,-1.0
4,1473840900000,-1.0
4,1473841500000,-1.0
4,1473842100000,-1.0
4,1473842700000,-1.0
4,1473843300000,-1.0
4,1473843900000,-1.0
4,1473844500000,-1.0
4,1473845100000,-1.0
4,1473845700000,-1.0
4,1473846300000,-1.0
4,1473846900000,-1.0
4,1473847500000,-1.0
4,1473848100000,-1.0
4,1473848700000,-1.0
4,1473849300000,-1.0
4,1473849900000,-1.0
4,1473850500000,-1.0
4,1473851100000,-1.0
4,1473851700000,-1.0
4,1473852300000,-1.0
4,1473852900000,-1.0
4,1473853500000,-1.0
4,1473854100000,-1.0
4,1473854700000,-1.0
4,1473855300000,-1.0
4,1473855900000,-1.0
4,1473856500000,-1.0
4,1473857100000,-1.0
4,1473857700000,-1.0
4,1473858300000,-1.0
4,1473858900000,-1.0
4,1473859500000,-1.0
4,1473860100000,-1.0
4,1473860700000,-1.0
4,1473861300000,-1.0
4,1473861900000,-1.0
4,1473862500000,-1.0
4,1473863100000,-1.0
4,1473863700000,-1.0
4,1473864300000,-1.0
4,1473864900000,-1.0
4,1473865500000,-1.0
4,1473866100000,-1.0
4,1473866700000,-1.0
4,1473867300000,-1.0
4,1473867900000,-1.0
4,1473868500000,-1.0
4,1473869100000,-1.0
4,1473869700000,-1.0
4,1473870300000,-1.0
4,1473870900000,-1.0
4,1473871500000,-1.0
4,1473872100000,-1.0
4,1473872700000,-1.0
4,1473873300000,-1.0
4,1473873900000,-1.0
4,1473874500000,-1.0
4,1473875100000,-1.0
4,1473875700000,-1.0
4,1473876300000,-1.0
4,1473876900000,-1.0
4,1473877500000,-1.0
4,1473878100000,-1.0
4,1473878700000,-1.0
4,1473879300000,-1.0
4,1473879900000,-1.0
4,1473880500000,-1.0
4,1473881100000,-1.0
4,1473881700000,-1.0
4,1473882300000,-1.0
4,1473882900000,-1.0
4,1473883500000,-1.0
4,1473884100000,-1.0
4,1473884700000,-1.0
4,1473885300000,-1.0
