device,timestamp,motion
10,1473732300000,-1.0
10,1473732900000,-1.0
10,1473733500000,-1.0
10,1473734100000,-1.0
10,1473734700000,-1.0
10,1473735300000,-1.0
10,1473735900000,-1.0
10,1473736500000,-1.0
10,1473737100000,-1.0
10,1473737700000,-1.0
10,1473738300000,-1.0
10,1473738900000,-1.0
10,1473739500000,-1.0
10,1473740100000,-1.0
10,1473740700000,-1.0
10,1473741300000,-1.0
10,1473741900000,-1.0
10,1473742500000,-1.0
10,1473743100000,-1.0
10,1473743700000,-1.0
10,1473744300000,-1.0
10,1473744900000,-1.0
10,1473745500000,-1.0
10,1473746100000,-1.0
10,1473746700000,-1.0
10,1473747300000,-1.0
10,1473747900000,-1.0
10,1473748500000,-1.0
10,1473749100000,-1.0
10,1473749700000,-1.0
10,1473750300000,-1.0
10,1473750900000,-1.0
10,1473751500000,-1.0
10,1473752100000,-1.0
10,1473752700000,-1.0
10,1473753300000,-1.0
10,1473753900000,-1.0
10,1473754500000,-1.0
10,1473755100000,-1.0
10,1473755700000,-1.0
10,1473756300000,-1.0
10,1473756900000,-1.0
10,1473757500000,-1.0
10,1473758100000,-1.0
10,1473758700000,-1.0
10,1473759300000,-1.0
10,1473759900000,-1.0
10,1473760500000,-1.0
10,1473761100000,-1.0
10,1473761700000,-1.0
10,1473762300000,-1.0
10,1473762900000,-1.0
10,1473763500000,-1.0
10,1473764100000,-1.0
10,1473764700000,-1.0
10,1473765300000,-1.0
10,1473765900000,-1.0
10,1473766500000,-1.0
10,1473767100000,-1.0
10,1473767700000,-1.0
10,1473768300000,-1.0
10,1473768900000,-1.0
10,1473769500000,-1.0
10,1473770100000,-1.0
10,1473770700000,-1.0
10,1473771300000,-1.0
10,1473771900000,-1.0
10,1473772500000,-1.0
10,1473773100000,-1.0
10,1473773700000,-1.0
10,1473774300000,-1.0
10,1473774900000,-1.0
10,1473775500000,-1.0
10,1473776100000,-1.0
10,1473776700000,-1.0
10,1473777300000,-1.0
10,1473777900000,-1.0
10,1473778500000,-1.0
10,1473779100000,-1.0
10,1473779700000,-1.0
10,1473780300000,-1.0
10,1473780900000,-1.0
10,1473781500000,-1.0
10,1473782100000,-1.0
10,1473782700000,-1.0
10,1473783300000,-1.0
10,1473783900000,-1.0
10,1473784500000,-1.0
10,1473785100000,-1.0
10,1473785700000,-1.0
10,1473786300000,-1.0
10,1473786900000,-1.0
10,1473787500000,-1.0
10,1473788100000,-1.0
10,1473788700000,-1.0
10,1473789300000,-1.0
10,1473789900000,-1.0
10,1473790500000,-1.0
10,1473791100000,-1.0
10,1473791700000,-1.0
10,1473792300000,-1.0
10,1473792900000,-1.0
10,1473793500000,-1.0
10,1473794100000,-1.0
10,1473794700000,-1.0
10,1473795300000,-1.0
10,1473795900000,-1.0
10,1473796500000,-1.0
10,1473797100000,-1.0
